Group,Trial,Time (s),Volume (mL),Initial (mL),Notes
1,1,30,0.6,0,
1,1,60,1.2,0,
1,1,90,2,0,
1,1,120,3.1,0,
1,1,150,4.2,0,
1,1,180,5.7,0,
1,1,210,6.8,0,
1,1,240,7.8,0,
1,1,270,8.7,0,
1,1,300,9.7,0,
1,1,330,10.2,0,
1,2,30,2.1,0.6,
1,2,60,2.7,0.6,
1,2,90,4.4,0.6,
1,2,120,5.7,0.6,
1,2,150,6.8,0.6,
1,2,180,7.8,0.6,
1,2,210,8.9,0.6,
1,2,240,10.2,0.6,
1,2,270,11.5,0.6,
1,2,300,13.2,0.6,
1,2,330,14.6,0.6,
2,1,180,1.4,0,
2,1,284,6.8,0,
2,1,326,9.3,0,
2,1,362,10.6,0,
2,1,385,11.6,0,
2,1,417,13.1,0,
2,1,456,14.1,0,
2,1,499,16.2,0,
2,1,540,17.3,0,
2,1,603,20.1,0,
4,1,30,1.6,1.6,
4,1,60,1.6,1.6,
4,1,90,2.2,1.6,
4,1,120,2.9,1.6,
4,1,150,3.8,1.6,
4,1,180,4.5,1.6,
4,1,210,5.6,1.6,
4,1,240,8,1.6,
4,1,270,8,1.6,
4,1,300,9,1.6,
4,1,330,10.1,1.6,
4,1,360,11.1,1.6,
4,1,390,12,1.6,
4,1,420,13.2,1.6,
4,1,450,13.9,1.6,
4,1,480,13.9,1.6,
4,1,510,13.9,1.6,
4,1,540,13.9,1.6,
4,1,570,13.9,1.6,
4,1,600,13.9,1.6,
6,1,30,0.6,0,
6,1,60,1.3,0,
6,1,90,1.8,0,
6,1,120,2.9,0,
6,1,150,3.6,0,
6,1,180,5.2,0,
6,1,210,6.6,0,
6,1,240,6.8,0,
6,1,270,8.6,0,
6,1,300,9,0,
6,1,330,9.3,0,
6,1,360,9.6,0,
6,1,390,9.8,0,
6,1,420,10,0,
6,1,450,10.3,0,
7,1,30,2.3,0,
7,1,60,2.3,0,
7,1,90,2.3,0,
7,1,120,3.8,0,
7,1,150,3.9,0,
7,1,180,5.6,0,
7,1,210,5.6,0,
7,1,240,5.6,0,
7,1,270,7.4,0,
7,1,300,8.8,0,
7,1,330,10.6,0,
7,1,360,12.2,0,
7,1,390,14.1,0,
7,1,420,14.8,0,
7,1,450,16,0,
7,1,480,16,0,
7,1,510,18.1,0,
7,1,540,18.1,0,
7,1,570,20.1,0,
7,1,600,20.1,0,
