Group,Trial,Time (s),Volume (mL),Initial (mL),Notes
2,1,22,13.6,0,
2,1,48,14.9,0,
2,1,73,16.3,0,
2,1,97,17.8,0,
2,1,103,18.2,0,
2,1,120,19.2,0,
2,1,135,20.6,0,
2,1,145,21.2,0,
2,1,179,24.2,0,
2,1,198,25.6,0,
2,1,210,26.4,0,
2,1,234,28.6,0,
2,1,247,30.3,0,
2,1,263,32.1,0,
2,1,290,35.3,0,
2,1,314,37.7,0,
2,1,336,39,0,
2,1,354,41.3,0,
2,1,366,42.1,0,
2,1,385,43.9,0,
2,1,400,46,0,
2,1,413,46.3,0,
2,1,450,50,0,
4,1,30,0.7,0.7,
4,1,60,0.7,0.7,
4,1,90,0.7,0.7,
4,1,120,2,0.7,
4,1,150,4.5,0.7,
4,1,180,6.3,0.7,
4,1,210,8.4,0.7,
4,1,240,10,0.7,
4,1,270,12,0.7,
4,1,300,13.8,0.7,
4,1,330,14.7,0.7,
4,1,360,16,0.7,
4,1,390,17.8,0.7,
4,1,420,18.9,0.7,
4,1,450,19.9,0.7,
4,1,480,21.1,0.7,
4,1,510,22.5,0.7,
4,1,540,23.5,0.7,
4,1,570,24.5,0.7,
4,1,600,25.5,0.7,
6,1,30,11.8,10.3,
6,1,60,13.2,10.3,
6,1,90,14,10.3,
6,1,120,15.1,10.3,
6,1,150,15.8,10.3,
6,1,180,16.3,10.3,
6,1,210,16.9,10.3,
6,1,240,17.8,10.3,
6,1,270,18.2,10.3,
6,1,300,18.8,10.3,
6,1,330,19.7,10.3,
6,1,360,20.5,10.3,
6,1,390,21.3,10.3,
6,1,420,21.8,10.3,
6,1,450,22.7,10.3,
7,1,30,5.5,0,
7,1,60,5.6,0,
7,1,90,5.6,0,
7,1,120,5.6,0,
7,1,150,5.7,0,
7,1,180,5.7,0,
7,1,210,6,0,
7,1,240,8.6,0,
7,1,270,10.2,0,
7,1,300,11.3,0,
7,1,330,12.9,0,
7,1,360,13.9,0,
7,1,390,14.6,0,
7,1,420,16,0,
7,1,450,18.8,0,
7,1,480,19.6,0,
7,1,510,20.5,0,
7,1,540,21.2,0,
7,1,570,22.1,0,
7,1,600,23.6,0,
1,1,22,5,0,
1,1,30,6.3,0,
1,1,45,9.1,0,
1,1,60,11.5,0,
1,1,80,14.5,0,
1,1,92,16,0,
1,1,120,19.5,0,
1,1,135,21.6,0,
1,1,160,24.5,0,
1,1,180,25.5,0,
1,1,200,27.5,0,
1,1,210,29.1,0,
1,1,240,31.5,0,
1,1,275,33.8,0,
1,1,285,35.1,0,
1,1,300,36.2,0,
1,1,330,37.9,0,
1,1,360,40,0,
1,1,375,41.4,0,
1,1,392,42.5,0,
1,1,420,44,0,
1,1,450,45.8,0,
1,1,480,47.2,0,
1,1,500,48.1,0,
1,1,540,49.5,0,
1,1,570,50,0,
9,1,30,4.2,1.7,
9,1,60,6.6,1.7,
9,1,90,8.5,1.7,
9,1,120,10.5,1.7,
9,1,150,12.3,1.7,
9,1,180,13.5,1.7,
9,1,210,15.5,1.7,
9,1,240,17.1,1.7,
9,1,270,18.7,1.7,
9,1,300,20.1,1.7,
9,1,330,21.4,1.7,
9,1,360,22.4,1.7,
