"Latest: Wavelength (nm)","Latest: Absorbance","Run 1: Wavelength (nm)","Run 1: Absorbance","Run 2: Wavelength (nm)","Run 2: Absorbance","Run 3: Wavelength (nm)","Run 3: Absorbance","Run 4: Wavelength (nm)","Run 4: Absorbance","Run 5: Wavelength (nm)","Run 5: Absorbance","Run 6: Wavelength (nm)","Run 6: Absorbance","Run 7: Wavelength (nm)","Run 7: Absorbance","Run 8: Wavelength (nm)","Run 8: Absorbance","Run 9: Wavelength (nm)","Run 9: Absorbance","Run 10: Wavelength (nm)","Run 10: Absorbance"
380.4,0.984760334919,380.4,0.129456210572,380.4,0.13320803932,380.4,0.0910608283858,380.4,0.0441837302538,380.4,0.0371562109976,380.4,0.719261998649,380.4,0.99797276116,380.4,0.98538664141,380.4,0.28168744046,380.4,0.696789631878
381.2,1.01228700554,381.2,0.130314702054,381.2,0.135706998166,381.2,0.0912161790466,381.2,0.0439942064178,381.2,0.0381356573574,381.2,0.726890308887,381.2,1.01669183527,381.2,1.00580205456,381.2,0.282328296911,381.2,0.719376727449
382.1,1.05835764897,382.1,0.132057908226,382.1,0.137645235653,382.1,0.0904159616957,382.1,0.0422386840715,382.1,0.0362310761634,382.1,0.737022237915,382.1,1.07123895448,382.1,1.04321342992,382.1,0.281657144708,382.1,0.736564432883
382.9,1.09289370548,382.9,0.129799191423,382.9,0.135903920142,382.9,0.0887311044069,382.9,0.0393951656275,382.9,0.0338379410631,382.9,0.744723878412,382.9,1.12543168086,382.9,1.10291953,382.9,0.281021379416,382.9,0.756218524885
383.8,1.12304220514,383.8,0.128214963027,383.8,0.132682044273,383.8,0.0865997867607,383.8,0.0363743948601,383.8,0.0294084445836,383.8,0.74710291359,383.8,1.15344121152,383.8,1.14707969192,383.8,0.280769189871,383.8,0.745580827233
384.6,1.13780370687,384.6,0.126833394406,384.6,0.129693422164,384.6,0.0856518883837,384.6,0.0362613555296,384.6,0.0288069212704,384.6,0.758983837414,384.6,1.18359126401,384.6,1.18418211745,384.6,0.280430277217,384.6,0.746027301018
385.5,1.17935347149,385.5,0.126282763279,385.5,0.125055702414,385.5,0.0837403347319,385.5,0.036757353755,385.5,0.02834907798,385.5,0.763064427039,385.5,1.19988807551,385.5,1.20935677387,385.5,0.277358322937,385.5,0.743278839613
386.3,1.21058610085,386.3,0.124808999855,386.3,0.123708656054,386.3,0.0824436077168,386.3,0.0387874775058,386.3,0.031818258729,386.3,0.765628911814,386.3,1.25956835499,386.3,1.26657823589,386.3,0.274643972159,386.3,0.749539782678
387.2,1.25386313011,387.2,0.12498162124,387.2,0.122682439346,387.2,0.0838088429972,387.2,0.0426331912363,387.2,0.0346985450774,387.2,0.764797167164,387.2,1.2930945568,387.2,1.32844087817,387.2,0.273736798711,387.2,0.758613820202
388,1.30666475531,388,0.127406710564,388,0.12422608848,388,0.087369813296,388,0.0466184970816,388,0.0380542044319,388,0.76692937792,388,1.34829536121,388,1.38666541348,388,0.275367359426,388,0.76629298875
388.9,1.35902896437,388.9,0.131371636447,388.9,0.12460774691,388.9,0.0890534599475,388.9,0.0516221956368,388.9,0.0401381021765,388.9,0.772756775732,388.9,1.39149974462,388.9,1.41815765972,388.9,0.276927000627,388.9,0.773620368272
389.7,1.42050125584,389.7,0.134574758404,389.7,0.123662601477,389.7,0.0903303786981,389.7,0.0547362748351,389.7,0.0420606528204,389.7,0.776598514372,389.7,1.45345578301,389.7,1.45515705244,389.7,0.280072112486,389.7,0.775670906695
390.6,1.46373443749,390.6,0.13596239988,390.6,0.122449195987,390.6,0.0908942320855,390.6,0.0604267359426,390.6,0.0460894728174,390.6,0.786138800974,390.6,1.51845029704,390.6,1.52416640528,390.6,0.286214262602,390.6,0.781514890111
391.4,1.50380678944,391.4,0.13794515926,391.4,0.120488877165,391.4,0.0926368470101,391.4,0.0669646916837,391.4,0.049540366696,391.4,0.795300455309,391.4,1.57336148516,391.4,1.59505907958,391.4,0.291883081544,391.4,0.789497498536
